osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/136369186,North Hoyle Offshore Wind Farm,2__PSTAT001,CAIRW-2,S,auto,
way/136369186,North Hoyle Offshore Wind Farm,T_CLDNW-1,CLDNW-1,T,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PSTAT002,MDHLW-1,S,auto,
way/136369186,North Hoyle Offshore Wind Farm,T_NOKYW-1,NOKYW-1,T,auto,
way/136369186,North Hoyle Offshore Wind Farm,T_NOKYW-2,NOKYW-2,T,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PIMPO000,NSC-ATL01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PEDFE000,NSC-EDF01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PHYDE000,NSC-SSE01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PSOUT000,NSC-STH01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__PSWAE000,NSC-SWA01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,E_NTAWB-1,NTAWB-1,E,auto,
way/136369186,North Hoyle Offshore Wind Farm,2__GEDFE000,NWP-EDF01,G,auto,
way/136369186,North Hoyle Offshore Wind Farm,T_STRNW-1,STRNW-1,T,auto,
way/230560199,Cwm Dyli Power Station,E_CWMD-1,CWMD-1,E,auto,
way/327949356,Burbo Bank Offshore Wind Farm,T_BRBEO-1,BRBEO-1,T,auto,
way/327949356,Burbo Bank Offshore Wind Farm,E_BURBO,BURBW-1,E,auto,
way/550474153,Barrow Wind Farm,T_BOWLW-1,BOWLW-1,T,auto,
way/550474159,Ormonde Wind Farm,T_OMNDW-1,OMNDO-1,T,auto,
way/635728029,West of Duddon Sands Wind Farm,T_WDNSO-1,WDNSO-1,T,auto,
way/635728029,West of Duddon Sands Wind Farm,T_WDNSO-2,WDNSO-2,T,auto,
way/1389863044,Solar Panels,T_BLPFS-1,BLPFS-1,T,auto,
way/1389863044,Solar Panels,T_CLVHS-1,CLVHS-1,T,auto,
way/1389863044,Solar Panels,T_CLVHS-2,CLVHS-2,T,auto,
way/1389863044,Solar Panels,T_LARKS-1,LARKS-1,T,auto,
way/1389863044,Solar Panels,T_TYLNS-1,TYLNS-1,T,auto,
way/1389863046,Solar Panels,T_BLPFS-1,BLPFS-1,T,auto,
way/1389863046,Solar Panels,T_CLVHS-1,CLVHS-1,T,auto,
way/1389863046,Solar Panels,T_CLVHS-2,CLVHS-2,T,auto,
way/1389863046,Solar Panels,T_LARKS-1,LARKS-1,T,auto,
way/1389863046,Solar Panels,T_TYLNS-1,TYLNS-1,T,auto,
node/13164881600,Main Boilerhouse,E_COWE1,COWE1,E,auto,
node/13164881600,Main Boilerhouse,E_COWE2,COWE2,E,auto,
node/13164881600,Main Boilerhouse,T_DIDCB5,DIDCB5,T,auto,
node/13164881600,Main Boilerhouse,T_DIDCB6,DIDCB6,T,auto,
node/13164881600,Main Boilerhouse,T_KEAD-2,KEAD-2,T,auto,
node/13164881600,Main Boilerhouse,T_LBAR-1,LBAR-1,T,auto,
node/13164881600,Main Boilerhouse,T_TSREP-1,TSREP-1,T,auto,
relation/8835793,Hagshaw Hill Extension Wind Farm,T_HAGHW-2,HAGHW-2,T,auto,
relation/8835793,Hagshaw Hill Extension Wind Farm,T_HAHAW-1,HAHAW-1,T,auto,
relation/8836133,Windy Standard I,T_WDRGW-1,WDRGW-1,T,auto,
relation/13616181,Douglas West wind farm,T_DWEXW-1,DWEXW-1,T,auto,
relation/17296061,Cumberhead Wind Farm,T_CUMHW-1,CUMHW-1,T,auto,
relation/19404961,Cumberhead West Wind Farm,T_CUMHW-1,CUMHW-1,T,auto,
relation/19405219,Hagshaw Hill (Repowering),T_HAGHW-2,HAGHW-2,T,auto,
relation/19405219,Hagshaw Hill (Repowering),T_HAHAW-1,HAHAW-1,T,auto,
relation/19405446,Douglas West Wind Farm Extension,T_DWEXW-1,DWEXW-1,T,auto,
relation/19412289,Broken Cross Wind Farm,T_BROCW-1,BROCW-1,T,auto,
relation/19454939,Windy Standard II,T_WDRGW-1,WDRGW-1,T,auto,
way/616339818,Wind Farm,T_DOREW-1,DOREW-1,T,auto,
way/616339818,Wind Farm,T_DOREW-2,DOREW-2,T,auto,
way/616339818,Wind Farm,T_GRIFW-1,GRIFW-1,T,auto,
way/616339818,Wind Farm,T_GRIFW-2,GRIFW-2,T,auto,
way/616339818,Wind Farm,T_HMGTO-1,HMGTO-1,T,auto,
way/616339818,Wind Farm,T_HMGTO-2,HMGTO-2,T,auto,
way/616339818,Wind Farm,T_LNCSW-1,LNCSO-1,T,auto,
