bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,side,volume_mwh,abs_volume_mwh,action_count,settlement_date,settlement_period,price_gbp_mwh,bid_offer_pair_id,first_seen_at,last_seen_at,active_latest
2__GSTAT009,AG-GSTK09,STAT_G10,,S,Statkraft Markets Gmbh,16.000,bid,-25.894,25.894,112,2026-06-10,21,93.36,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GSTAT009,AG-GSTK09,STAT_G10,,S,Statkraft Markets Gmbh,16.000,offer,0.102,0.102,3,2026-06-10,28,170.78,-1; 1,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2__GSTAT016,AG-GSTK16,STAT_G17,,S,Statkraft Markets Gmbh,8.000,bid,-17.308,17.308,115,2026-06-10,20,104.48,-1; -2; -3; -4,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GSTAT016,AG-GSTK16,STAT_G17,,S,Statkraft Markets Gmbh,8.000,offer,1.875,1.875,21,2026-06-10,24,128.45,-1; -2; -3; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HANGE002,AG-HLIM02,2__HANGE002,,S,Limejump Energy Limited,50.000,bid,-8.3,8.3,66,2026-06-10,27,100.91,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HANGE002,AG-HLIM02,2__HANGE002,,S,Limejump Energy Limited,50.000,offer,0.383,0.383,6,2026-06-10,26,136.23,1; 2,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__HANGE003,AG-HLIM03,2__HANGE003,,S,Limejump Energy Limited,49.813,bid,-6.85,6.85,53,2026-06-10,26,91.1,-1; -2; -3; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HANGE003,AG-HLIM03,2__HANGE003,,S,Limejump Energy Limited,49.813,offer,1.7,1.7,17,2026-06-10,26,131.05,1; 2,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__HANGE004,AG-HLIM04,2__HANGE004,,S,Limejump Energy Limited,49.335,bid,-12.758,12.758,60,2026-06-10,33,110.52,-1; -2; -3,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
2__HANGE004,AG-HLIM04,2__HANGE004,,S,Limejump Energy Limited,49.335,offer,1.708,1.708,12,2026-06-10,26,137.9,-2; -3; 1; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HANGE005,AG-HLIM05,2__HANGE005,,S,Limejump Energy Limited,101.899,bid,-44.217,44.217,50,2026-06-10,29,37.1,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HANGE005,AG-HLIM05,2__HANGE005,,S,Limejump Energy Limited,101.899,offer,17.867,17.867,12,2026-06-10,19,120.74,1; 2,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__HCMRO002,HFSE02,2__HCMRO002,,S,BGI Trading Limited,0.000,bid,-5.917,5.917,14,2026-06-10,29,95.93,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HCMRO002,HFSE02,2__HCMRO002,,S,BGI Trading Limited,0.000,offer,2.75,2.75,3,2026-06-10,41,175.04,-1; 1,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2__HIMPO002,HSSE01,2__HIMPO002,,S,SSE Energy Supply Limited,52.564,bid,-18.475,18.475,22,2026-06-10,29,111.12,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HIMPO002,HSSE01,2__HIMPO002,,S,SSE Energy Supply Limited,52.564,offer,15.083,15.083,5,2026-06-10,19,128.11,1,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__HLOND002,AG-HEDF02,EDFE Aggregate S Eng 02,,S,EDF Energy Customers Limited,52.000,bid,-133.253,133.253,110,2026-06-10,19,95.65,-1; -2; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__HLOND002,AG-HEDF02,EDFE Aggregate S Eng 02,,S,EDF Energy Customers Limited,52.000,offer,28.82,28.82,27,2026-06-10,19,135.07,1; 2,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
